location,loc_mean,loc_std
china,1.12,0.518834452585012
india,1.4408602150537635,0.743995757225482
japan,1.3061224489795917,0.8945222568651999
pakistan,1.736413043478261,1.514176483417858
sri lanka,1.425,0.7472170590486632
uk,1.3135593220338984,0.7244113736898119
usa,1.2473118279569892,0.5532393837673121
